code,Month,year,burn debris,Avg Daily Disch  Nr nrst gage,Preceding Yr Dry  Duration (ys),Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool_warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified_taxa,Biotic index,Thermal index
rom,6,2011,0,0.0604,0,884,4,880,1,4,0,0,187,4,646,837,30,4,6,40,0,3,766,103,14,186,2,0,5,49,0,643,9,802,72,210,673,68,803,12,681,183,19,150,46,689,4,867,13,44,778,62,14,861,9,22,0.36,8.2,0.8389,15.7855
sau,6,2011,2,0.2033,0,1926,6,1920,110,1,5,0,1546,1,21,1568,86,46,167,299,0,53,116,1538,272,1552,47,0,114,291,10,22,2,163,1761,1887,39,1655,182,89,42,1187,697,518,15,1503,6,1660,260,439,7,1480,49,1653,224,25,0.55,10.9,4.7989,19.4226
sou,6,2011,0,0.1319,0,347,0,347,7,0,0,0,117,0,82,199,31,6,101,138,8,2,159,55,133,112,1,0,12,147,0,82,0,217,130,256,91,42,274,31,80,267,0,235,3,116,0,244,103,146,173,28,1,243,103,17,0.73,11.6,2.7058,15.6042
srl,6,2011,2,0.1946,0,918,549,369,1011,24,525,0,232,0,8,240,58,42,20,120,0,9,18,239,655,235,2,5,1529,128,22,8,9,102,801,871,41,797,55,60,5,852,55,1136,562,231,549,304,65,693,24,201,26,298,594,25,0.46,9.5,5.7636,18.9079
sru,6,2011,1,0.2067,0,207,1,206,130,1,0,0,44,0,31,75,103,5,23,131,0,0,35,45,127,44,0,0,129,129,4,31,4,136,67,168,39,48,56,103,23,184,0,277,4,56,1,175,31,150,25,32,1,178,28,14,0.64,9.2,2.3064,16.3474
syc,6,2011,1,0.0614,0,420,21,399,56,7,14,0,254,0,23,277,76,19,27,122,0,0,92,192,136,254,0,0,70,119,11,22,7,114,299,379,41,285,58,77,13,350,57,271,27,178,21,348,51,243,17,160,8,352,60,20,0.77,14.0,1.7455,18.4159
bgu,6,2012,2,0.0072,0,335,9,326,41,7,2,0,16,0,52,68,40,23,195,258,0,0,2,78,249,16,0,0,46,259,4,51,1,108,220,272,57,35,254,40,12,309,8,346,12,18,9,109,217,319,9,7,8,109,218,17,0.67,11.7,2.9506,17.4474
csp,6,2012,1,0.0058,0,521,8,513,1,3,5,0,61,0,264,325,100,6,81,187,0,1,323,25,173,60,0,0,8,194,2,258,16,418,87,235,286,12,408,101,263,254,4,234,15,273,8,411,102,194,327,0,10,419,92,23,0.53,10.1,1.4096,15.7360
ecm,6,2012,0,0.0029,0,601,4,597,0,0,4,0,66,3,115,184,87,18,303,408,5,0,153,61,382,63,0,0,32,406,0,100,11,270,315,454,142,43,474,79,88,484,24,457,10,134,4,277,320,447,154,0,13,275,313,26,0.65,14.3,2.8707,16.0473
ral,6,2012,1,0.0059,0,645,14,631,0,1,13,0,138,0,343,481,65,14,70,149,0,1,404,93,148,118,0,0,43,164,4,316,4,537,104,294,351,73,504,68,309,333,3,234,17,394,14,552,79,171,451,23,29,528,88,19,0.62,11.5,2.1555,15.9656
rau,6,2012,1,0.0057,0,839,59,780,3,0,59,0,28,0,556,584,99,8,86,193,0,3,591,21,227,28,2,0,64,190,3,555,14,676,149,258,581,71,672,96,565,271,3,197,76,569,59,671,109,253,582,4,4,686,149,19,0.43,8.1,1.7446,16.0803
ref,6,2012,0,0.0028,0,653,54,599,0,1,53,0,41,0,209,250,53,44,228,325,23,1,201,117,331,38,0,1,79,330,0,205,4,362,283,414,235,103,492,54,186,459,4,399,55,199,54,343,256,424,226,3,2,345,306,25,0.67,12.5,2.8956,16.4904
rom,6,2012,0,0.0058,0,583,64,519,5,64,0,0,44,0,308,352,124,5,36,165,0,2,304,203,74,36,1,0,15,231,0,304,35,429,118,187,395,30,471,81,288,250,44,157,27,403,64,435,84,205,360,18,69,473,41,23,0.65,13.3,2.0582,15.8814
sau,6,2012,2,0.0071,0,479,151,328,21,34,117,0,23,0,32,55,60,46,150,256,5,12,13,110,338,35,0,0,139,291,4,31,11,135,315,394,67,180,215,66,32,419,10,287,139,74,151,124,204,421,53,5,35,119,325,27,0.74,17.2,3.1050,17.7123
sol,6,2012,0,0.0028,0,761,31,730,4,0,31,0,119,1,322,442,96,19,154,269,17,2,369,120,272,116,0,1,57,272,0,319,2,565,194,400,361,69,611,81,264,473,24,423,33,309,31,570,160,370,389,2,5,567,189,25,0.66,12.7,0.5286,16.1164
srl,6,2012,2,0.0072,0,1448,799,649,237,3,796,0,342,0,71,413,121,12,61,194,0,42,74,55,1315,348,0,36,1034,190,7,70,15,243,1186,1346,98,1198,110,136,36,1384,24,798,807,80,799,561,88,1402,40,6,7,533,908,23,0.55,11.0,6.5579,19.2632
sru,6,2012,1,0.0072,0,512,34,478,26,0,34,0,44,0,234,278,76,17,106,199,0,1,242,67,201,45,0,0,75,186,1,231,18,346,146,255,255,56,378,76,201,307,2,281,38,219,34,349,129,269,240,3,2,365,145,19,0.67,10.9,2.5558,16.1581
syc,6,2012,1,0.0058,0,698,29,669,47,9,20,0,359,0,92,451,83,11,121,215,0,3,50,234,410,359,1,0,68,223,4,90,5,189,500,586,108,389,220,85,19,525,150,526,28,191,29,532,137,525,32,141,14,530,154,28,0.70,14.6,2.2446,20.4873
bgu,6,2013,2,0.0030,0,1037,49,988,182,4,45,0,126,0,481,607,83,44,224,351,30,0,2,534,491,126,0,0,231,366,18,478,4,628,396,494,533,206,737,85,16,1009,3,1134,72,13,49,720,268,998,39,0,7,719,311,22,0.62,10.4,3.6834,18.8148
