1,Sitetime,Stream,code,Month,year,Stream#,Date,Fire,Rip M-H burn,Rip burn,Basin M-H burn,Basin burn,burn debris,BurnDfRef,trout,Burntrtref,Burn trout,Burn trout  w all,yrs code,StreamDried,NEW Gage,SAN JOSE DISCHARGE,SAN JOSEAvg Daily Disch,SAN JOSE Max disch,DOSD Nr nrst gage,Avg Daily Disch  Nr nrst gage,Max disch  Nr nrst gage,Cumulative Junes dry,Preceding Yr Dry  Duration (ys),Time since dry,Elevation,Latitude,Longitude,yrs since burned,yrs since Disturbance,avg % canopy cover,Max Depth,Avg Max depth,Avg Sed. Depth, temp,DO,FLOW,Conductivity,Leaf CPOM wet wt,Algae CPOM wet wt,Nitella aquatic veg CPOM wet wt,Total inverts,Total non-insects,Total insects,Total amphibians,Turbellaria,Mollusks ,Crustacea,Ephemerop,Plecoptera,Trichoptera,EPT,Odonata,Coleoptera,Hemiptera,OCH,Megaloptera ,Diptera,Sensitive,Medium,Tolerant,Coll-gath,Coll-filt,Filter-lent,Grazer,Predator,Piercer,Shredder,Semi,Uni,Multi,Fast seas,Non-seas,small,medium,large,Cold steno,Cool/warm eury,Warm eury,Pool,Mixed,Riffle,No wings,Weak flght,Strong flght,Rare drift,Occ-com drift,Abund drift,Cut resp,Gills,Atmospheric,Taxa richness,Pielou's J,rarified # taxa,Biotic index,Thermal index,NMS1,NMS2,NMS3,NMS1 13-20,NMS2 13-20,NMS3 13-20,pH,CPOM PH,CPOM PS,FPOM PH,FPOM PS,PH  AFDM(Org),PH Inorg Sed.,PS  AFDM(Org),PS Inorg Sed.,Pool Soft Chl a,Pool Hard Chl a,Av Curr vel  PH,Av Curr vel  PS,Av Depth  PH,Av Depth  PS,Clad PH,Clad PS,Macro PH,Macro PS,,,,,
193,20186csp,Cold Springs,csp,6,2018,23,6/16/18,Thomas,0.00,1.00,0.78,0.88,3,3,0,30,30,8,1,1,Carpinteria,0.0000,0.0101,1.2148,0.0102,0.0921,11.0436,0,0.25,0.52,234,34.456563,-119.653326,0.50,0.50,15,0.44,0.30,0.07,18,9,8,700,55,1390,0,1463,0,1463,179,0,0,0,1105,0,2,1107,41,189,1,231,0,125,6,449,939,1234,0,0,179,225,1,1,23.8,270,1106,1200,193.8,1288,71,40,97,1141,162,1284,74,284,0,1238,225,1254,2,207,1,1147,315,24,0.55,11.0,6.4867,20.4366,-1.15585,-0.79276,-0.47556,-1.26056,-0.55562,-0.02532,,,,,,,,,,,,,,,,,,,,,,,,
213,20206csp,Cold Springs,csp,6,2020,23,6/9/20,Thomas,0.00,1.00,0.78,0.88,3,3,0,30,30,8,2,1,Carpinteria,0.0048,0.0361,2.0954,0.0085,0.0491,3.1432,0,0,2.52,234,34.456563,-119.653326,2.50,2.50,20,0.64,0.47,0.04,17.4,11,8.2,568,4,1560,0,803,0,803,154,0,0,0,748,0,0,748,1,23.84,11,35.84,0,20,64,693,32,748.6,19,0,154,33.84,2,0,2.12,25,770,783,6,784,4,9,13,410,374,261,10,687,0,749,54.84,126,0,678,19,749,36,17,0.56,8.4,3.4030,19.8199,-0.71678,-1.20856,0.71419,-1.41588,0.47533,0.82318,,,,,,,,,,,,,,,,,,,,,,,,
28,20096ecm,El Capitan usual,ecm,6,2009,8,6/22/09,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0037,0.0201,0.5267,0.0005,0.0050,0.1461,0,0,,124,34.482938,-120.017658,53.75,53.75,71.2,0.3,0.22,,15.3,2.9,,706,,,,445,172,273,18,0,172,0,20,0,78,98,17,8,132,157,18,0,44,66,331,20,0,0,193,175,2,73,2,123,316,339,102,188,238,15,35,401,5,245,178,40,172,131,142,381,64,0,5,128,312,17,0.71,12.1,2.4836,16.0644,0.12647,0.78276,-0.61441,,,,6.94,8.3,8.6,1.0,2.7,0.707,1.530,3.970,6.677,14.48,6.55,0.00,0.00,0.09,0.17,0.0,0.0,0.0,0.0,,,,,
54,20106ecm,El Capitan usual,ecm,6,2010,8,6/22/10,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0139,0.0773,2.6051,0.0003,0.0675,2.6950,0,0.21,0.67,124,34.482938,-120.017658,54.53,54.53,51.4,0.6,0.41,0.00,13.9,9.95,,536,,,,427,8,419,11,0,8,0,166,0,73,239,12,11,156,179,0,1,99,89,238,165,1,0,23,181,0,68,1,112,313,352,74,169,243,14,77,343,6,275,10,153,8,251,168,261,89,77,6,246,175,20,0.75,13.5,2.3488,16.0687,0.03063,-0.54507,-0.26845,,,,8.13,2.05,4.34,0.53,1.42,1.315,0.974,1.624,6.561,9.79,12.87,0.080,0.044,0.16,0.24,46.4,14.8,46.4,14.8,,,,,
68,20116ecm,El Capitan usual,ecm,6,2011,8,6/24/11,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0127,0.2047,17.2166,0.0069,0.1338,9.1355,0,0,1.67,124,34.482938,-120.017658,55.53,55.53,59.5,0.6,0.50,0.03,18,9.93,,525,,,,350,0,350,2,0,0,0,102,0,70,172,4,15,152,171,7,0,88,100,159,96,0,0,13,172,4,67,4,115,228,262,85,94,249,4,69,274,4,193,8,151,0,182,168,175,100,75,3,182,165,20,0.66,12.5,2.4946,16.2331,0.61434,-0.42317,0.7335,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,20126ecm,El Capitan usual,ecm,6,2012,8,6/25/12,,0.00,0.00,0.00,0.00,0,0,0,00,0,0,4,1,HO00,0.0054,0.0131,0.2642,0.0003,0.0029,0.0730,0,0,2.67,124,34.482938,-120.017658,56.53,56.53,59.1,0.4,0.37,0.02,20.95,9.25,,330,,,,601,4,597,0,0,4,0,66,3,115,184,87,18,303,408,5,0,153,61,382,63,0,0,32,406,0,100,11,270,315,454,142,43,474,79,88,484,24,457,10,134,4,277,320,447,154,0,13,275,313,26,0.65,14.3,2.8707,16.0473,0.38961,0.70565,0.0084,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,20136ecm,El Capitan usual,ecm,6,2013,8,6/5/13,,0.00,0.00,0.00,0.00,,,,,,,,0,HO00,0.0017,0.0125,0.2206,0.0001,0.0101,0.2632,1,0.38,0,124,34.482938,-120.017658,57.53,57.53,,0.0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,20146ecm,El Capitan usual,ecm,6,2014,8,6/29/14,,0.00,0.00,0.00,0.00,,,,,,,,0,HO00,0.0011,0.0063,0.3993,0.0000,0.0044,0.5242,2,0.38,0,124,34.482938,-120.017658,58.53,58.53,,0.0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,20156ecm,El Capitan usual,ecm,6,2015,8,7/1/15,,0.00,0.00,0.00,0.00,,,,,,,,0,HO00,0.0014,0.0120,1.7528,0.0001,0.0014,0.1879,3,0.62,0,124,34.482938,-120.017658,59.53,59.53,,0.0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,20166ecm,El Capitan usual,ecm,6,2016,8,7/13/16,,0.00,0.00,0.00,0.00,,,,,,,,0,HO00,0.0000,0.0109,0.6938,0.0001,0.0046,0.9438,4,0.67,0,124,34.482938,-120.017658,0.00,0.00,,0.0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
